"Exon ID"	"Gene Symbol"	"Chr"	"Strand"	"Exon Start"	"Exon End"	"Upstream Exon Start"	"Upstream Exon End"	"Downstream Exon Start"	"Downstream Exon End"	"P-value"	"FDR"
"217|ENSG00000019144.18_3|PHLDB1|chr11|+|118514789|118515409|118514789|118514892|118516073|118516368"	"ENSG00000019144.18_3"	"PHLDB1"	"chr11"	"+"	"118514789"	"118515409"	"118514789"	"118514892"	"118516073"	"118516368"	"0"	"0"
"1171|ENSG00000186716.20_3|BCR|chr22|+|23653883|23654105|23653883|23654023|23655073|23655208"	"ENSG00000186716.20_3"	"BCR"	"chr22"	"+"	"23653883"	"23654105"	"23653883"	"23654023"	"23655073"	"23655208"	"0"	"0"
"1863|ENSG00000138434.16_2|SSFA2|chr2|+|182779942|182781732|182779942|182781154|182783324|182783402"	"ENSG00000138434.16_2"	"SSFA2"	"chr2"	"+"	"182779942"	"182781732"	"182779942"	"182781154"	"182783324"	"182783402"	"0"	"0"
"2029|ENSG00000254505.9_3|CHMP4A|chr14|-|24680616|24680798|24680620|24680798|24679859|24679974"	"ENSG00000254505.9_3"	"CHMP4A"	"chr14"	"-"	"24680616"	"24680798"	"24680620"	"24680798"	"24679859"	"24679974"	"0"	"0"
"2437|ENSG00000135597.18_3|REPS1|chr6|-|139247537|139251235|139251113|139251235|139242173|139242261"	"ENSG00000135597.18_3"	"REPS1"	"chr6"	"-"	"139247537"	"139251235"	"139251113"	"139251235"	"139242173"	"139242261"	"0"	"0"
"4373|ENSG00000054148.17_3|PHPT1|chr9|+|139744464|139745012|139744464|139744589|139745206|139745474"	"ENSG00000054148.17_3"	"PHPT1"	"chr9"	"+"	"139744464"	"139745012"	"139744464"	"139744589"	"139745206"	"139745474"	"0"	"0"
"9257|ENSG00000087274.16_3|ADD1|chr4|+|2906490|2906835|2906490|2906742|2909469|2909571"	"ENSG00000087274.16_3"	"ADD1"	"chr4"	"+"	"2906490"	"2906835"	"2906490"	"2906742"	"2909469"	"2909571"	"0"	"0"
"7737|ENSG00000181929.11_3|PRKAG1|chr12|-|49412306|49412531|49412514|49412531|49406844|49406893"	"ENSG00000181929.11_3"	"PRKAG1"	"chr12"	"-"	"49412306"	"49412531"	"49412514"	"49412531"	"49406844"	"49406893"	"5.5294911452331e-312"	"9.97381965321418e-310"
"6660|ENSG00000126214.21_3|KLC1|chr14|+|104145720|104145882|104145720|104145855|104151322|104151373"	"ENSG00000126214.21_3"	"KLC1"	"chr14"	"+"	"104145720"	"104145882"	"104145720"	"104145855"	"104151322"	"104151373"	"2.79588735923644e-309"	"4.48273939930909e-307"
"7146|ENSG00000196498.13_3|NCOR2|chr12|-|124811954|124812179|124812092|124812179|124810736|124810916"	"ENSG00000196498.13_3"	"NCOR2"	"chr12"	"-"	"124811954"	"124812179"	"124812092"	"124812179"	"124810736"	"124810916"	"1.14034108240677e-299"	"1.64551218191297e-297"
"2203|ENSG00000112306.7_2|RPS12|chr6|+|133136110|133136363|133136110|133136227|133137599|133137702"	"ENSG00000112306.7_2"	"RPS12"	"chr6"	"+"	"133136110"	"133136363"	"133136110"	"133136227"	"133137599"	"133137702"	"6.28126570881784e-289"	"8.23987856165831e-287"
"6094|ENSG00000116288.12_3|PARK7|chr1|+|8021722|8021853|8021722|8021795|8022822|8022935"	"ENSG00000116288.12_3"	"PARK7"	"chr1"	"+"	"8021722"	"8021853"	"8021722"	"8021795"	"8022822"	"8022935"	"1.40378769219187e-277"	"1.68805469986072e-275"
